50
102
4
12
23
50
67
83,13
37,95
0,27
5,58
40,64
80,18
77,16
40,96
93,73
64,91
81,40
97,99
30,45
78,16
51,80
33,30
37,61
22,58
89,26
34,7
21,23
2,56
5,53
91,45
55,82
42,86
40,41
4O,74
40,74
46,46
53,82
34,38
88,32
11,95
56,17
38,45
41,95
47,97
92,34
22,81
65,85
44,62
10,87
37,57
7,44
36,9
99,15
16,47
13,85
78,81
86,57
54,78
58,83
1,61
43,67
26,97
52,12
81,83
86,36
17,71
19,12
18,75
39,2
19,61
30,97
79,76
16,33
58,32
12,5
15,10
71,21
96,14
618
6,18
18,2
31,8
48,24
78,67
44,92
41,49
20,10
52,100
23,71
56,15
31,67
64,99
88,71
70,75
2,34
89,16
1,27
42,27
52,67
1,91
97,35
24,0
43,50
91,7
98,24
71,76
93,40
81,32
